venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,Fast Co-Training under Weak Dependence via Stream-Based Active Learning.,Ilias Diakonikolas; Mingchen Ma; Lisheng Ren; Christos Tzamos,,0,https://openreview.net/forum?id=GqWy1wZKeE,
icml,2024,conf/icml/icml2024,,Active Adaptive Experimental Design for Treatment Effect Estimation with Covariate Choice.,Masahiro Kato; Akihiro Oga; Wataru Komatsubara; Ryo Inokuchi,,0,https://openreview.net/forum?id=K6HpbvkrwO,
icml,2024,conf/icml/icml2024,,Listenable Maps for Audio Classifiers.,Francesco Paissan; Mirco Ravanelli; Cem Subakan,,0,https://openreview.net/forum?id=kAfYYg6PX8,
icml,2024,conf/icml/icml2024,,"I/O Complexity of Attention, or How Optimal is FlashAttention?",Barna Saha; Christopher Ye,,0,https://openreview.net/forum?id=MdPBVWTfwG,
icml,2024,conf/icml/icml2024,,Decomposing Uncertainty for Large Language Models through Input Clarification Ensembling.,Bairu Hou; Yujian Liu; Kaizhi Qian; Jacob Andreas; Shiyu Chang; Yang Zhang,,0,https://openreview.net/forum?id=byxXa99PtF,
icml,2024,conf/icml/icml2024,,Inferring the Long-Term Causal Effects of Long-Term Treatments from Short-Term Experiments.,Allen Tran; Aurélien Bibaut; Nathan Kallus,,0,https://openreview.net/forum?id=lQ2o7JteMO,
icml,2024,conf/icml/icml2024,,"Multiplicative Weights Update, Area Convexity and Random Coordinate Descent for Densest Subgraph Problems.",Ta Duy Nguyen; Alina Ene,,0,https://openreview.net/forum?id=d2E2i5rJ4x,
icml,2024,conf/icml/icml2024,,All-in-one simulation-based inference.,Manuel Glöckler; Michael Deistler; Christian Dietrich Weilbach; Frank Wood; Jakob H. Macke,,0,https://openreview.net/forum?id=DL79HYCFFq,
icml,2024,conf/icml/icml2024,,Environment Design for Inverse Reinforcement Learning.,Thomas Kleine Buening; Victor Villin; Christos Dimitrakakis,,0,https://openreview.net/forum?id=Ar0dsOMStE,
icml,2024,conf/icml/icml2024,,Scalable AI Safety via Doubly-Efficient Debate.,Jonah Brown-Cohen; Geoffrey Irving; Georgios Piliouras,,0,https://openreview.net/forum?id=6jmdOTRMIO,
icml,2024,conf/icml/icml2024,,OMPO: A Unified Framework for RL under Policy and Dynamics Shifts.,Yu Luo; Tianying Ji; Fuchun Sun; Jianwei Zhang; Huazhe Xu; Xianyuan Zhan,,0,https://openreview.net/forum?id=R83VIZtHXA,
icml,2024,conf/icml/icml2024,,Neural Collapse meets Differential Privacy: Curious behaviors of NoisyGD with Near-Perfect Representation Learning.,Chendi Wang; Yuqing Zhu; Weijie J. Su; Yu-Xiang Wang,,0,https://openreview.net/forum?id=7rrN6E4KU0,
